scenario,time,cw_coherence,pulse_coherence,cw_population,pulse_population
good_qubit,40.201,0.00125563,0.00398121,0.00000000,0.00000000
good_qubit,40.704,0.00226468,0.00393151,0.00000000,0.00000000
good_qubit,41.206,0.00020530,0.00388243,0.00000000,0.00000000
good_qubit,41.709,0.00001848,0.00383397,0.00000000,0.00000000
good_qubit,42.211,0.00237442,0.00378611,0.00000000,0.00000000
good_qubit,42.714,0.00130279,0.00373886,0.00000000,0.00000000
good_qubit,43.216,0.00221879,0.00369219,0.00000000,0.00000000
good_qubit,43.719,0.00016295,0.00364611,0.00000000,0.00000000
good_qubit,44.221,0.00006552,0.00360061,0.00000000,0.00000000
good_qubit,44.724,0.00233457,0.00355568,0.00000000,0.00000000
good_qubit,45.226,0.00135878,0.00351131,0.00000000,0.00000000
good_qubit,45.729,0.00220033,0.00346750,0.00000000,0.00000000
good_qubit,46.231,0.00010246,0.00342423,0.00000000,0.00000000
good_qubit,46.734,0.00010689,0.00338151,0.00000000,0.00000000
good_qubit,47.236,0.00229730,0.00333932,0.00000000,0.00000000
good_qubit,47.739,0.00138133,0.00329766,0.00000000,0.00000000
good_qubit,48.241,0.00212949,0.00325652,0.00000000,0.00000000
good_qubit,48.744,0.00009776,0.00321589,0.00000000,0.00000000
good_qubit,49.246,0.00015698,0.00317577,0.00000000,0.00000000
good_qubit,49.749,0.00226490,0.00313614,0.00000000,0.00000000
good_qubit,50.251,0.00143281,0.00309701,0.00000000,0.00000000
good_qubit,50.754,0.00213079,0.00305837,0.00000000,0.00000000
good_qubit,51.256,0.00006651,0.00302021,0.00000000,0.00000000
good_qubit,51.759,0.00019654,0.00298253,0.00000000,0.00000000
good_qubit,52.261,0.00223679,0.00294531,0.00000000,0.00000000
good_qubit,52.764,0.00145787,0.00290855,0.00000000,0.00000000
good_qubit,53.266,0.00206034,0.00287225,0.00000000,0.00000000
good_qubit,53.769,0.00003683,0.00283640,0.00000000,0.00000000
good_qubit,54.271,0.00023088,0.00280099,0.00000000,0.00000000
good_qubit,54.774,0.00220585,0.00276602,0.00000000,0.00000000
good_qubit,55.276,0.00148928,0.00273149,0.00000000,0.00000000
good_qubit,55.779,0.00202499,0.00269739,0.00000000,0.00000000
good_qubit,56.281,0.00000694,0.00266371,0.00000000,0.00000000
good_qubit,56.784,0.00027514,0.00263046,0.00000000,0.00000000
good_qubit,57.286,0.00218479,0.00259762,0.00000000,0.00000000
good_qubit,57.789,0.00151752,0.00256519,0.00000000,0.00000000
good_qubit,58.291,0.00198133,0.00253317,0.00000000,0.00000000
good_qubit,58.794,0.00000037,0.00250154,0.00000000,0.00000000
good_qubit,59.296,0.00031076,0.00247030,0.00000000,0.00000000
good_qubit,59.799,0.00215531,0.00243944,0.00000000,0.00000000
good_qubit,60.302,0.00153847,0.00240897,0.00000000,0.00000000
good_qubit,60.804,0.00194610,0.00237887,0.00000000,0.00000000
good_qubit,61.307,0.00001805,0.00234914,0.00000000,0.00000000
good_qubit,61.809,0.00034689,0.00231978,0.00000000,0.00000000
good_qubit,62.312,0.00213276,0.00229079,0.00000000,0.00000000
good_qubit,62.814,0.00156656,0.00226215,0.00000000,0.00000000
good_qubit,63.317,0.00191624,0.00223387,0.00000000,0.00000000
good_qubit,63.819,0.00004260,0.00220595,0.00000000,0.00000000
good_qubit,64.322,0.00037676,0.00217837,0.00000000,0.00000000
good_qubit,64.824,0.00210914,0.00215113,0.00000000,0.00000000
good_qubit,65.327,0.00160246,0.00212424,0.00000000,0.00000000
good_qubit,65.829,0.00192437,0.00209768,0.00000000,0.00000000
good_qubit,66.332,0.00007807,0.00207145,0.00000000,0.00000000
good_qubit,66.834,0.00040362,0.00204555,0.00000000,0.00000000
good_qubit,67.337,0.00208905,0.00201998,0.00000000,0.00000000
good_qubit,67.839,0.00162175,0.00199472,0.00000000,0.00000000
good_qubit,68.342,0.00186746,0.00196979,0.00000000,0.00000000
good_qubit,68.844,0.00008539,0.00194517,0.00000000,0.00000000
good_qubit,69.347,0.00043058,0.00192085,0.00000000,0.00000000
good_qubit,69.849,0.00207051,0.00189685,0.00000000,0.00000000
good_qubit,70.352,0.00164249,0.00187314,0.00000000,0.00000000
good_qubit,70.854,0.00184029,0.00184974,0.00000000,0.00000000
good_qubit,71.357,0.00009857,0.00182662,0.00000000,0.00000000
good_qubit,71.859,0.00045690,0.00180381,0.00000000,0.00000000
good_qubit,72.362,0.00204603,0.00178128,0.00000000,0.00000000
good_qubit,72.864,0.00166416,0.00175903,0.00000000,0.00000000
good_qubit,73.367,0.00182856,0.00173706,0.00000000,0.00000000
good_qubit,73.869,0.00013066,0.00171538,0.00000000,0.00000000
good_qubit,74.372,0.00047822,0.00169396,0.00000000,0.00000000
good_qubit,74.874,0.00203082,0.00167282,0.00000000,0.00000000
good_qubit,75.377,0.00168677,0.00165194,0.00000000,0.00000000
good_qubit,75.879,0.00181424,0.00163133,0.00000000,0.00000000
good_qubit,76.382,0.00014979,0.00161098,0.00000000,0.00000000
good_qubit,76.884,0.00052057,0.00159088,0.00000000,0.00000000
good_qubit,77.387,0.00201988,0.00157104,0.00000000,0.00000000
good_qubit,77.889,0.00170333,0.00155145,0.00000000,0.00000000
good_qubit,78.392,0.00176570,0.00153211,0.00000000,0.00000000
good_qubit,78.894,0.00014198,0.00151301,0.00000000,0.00000000
good_qubit,79.397,0.00053882,0.00149415,0.00000000,0.00000000
good_qubit,79.899,0.00200540,0.00147553,0.00000000,0.00000000
good_qubit,80.402,0.00171932,0.00145714,0.00000000,0.00000000
good_qubit,80.905,0.00174351,0.00143899,0.00000000,0.00000000
good_qubit,81.407,0.00014959,0.00142106,0.00000000,0.00000000
good_qubit,81.910,0.00056175,0.00140336,0.00000000,0.00000000
good_qubit,82.412,0.00199175,0.00138588,0.00000000,0.00000000
good_qubit,82.915,0.00173424,0.00136862,0.00000000,0.00000000
good_qubit,83.417,0.00172235,0.00135158,0.00000000,0.00000000
good_qubit,83.920,0.00015710,0.00133474,0.00000000,0.00000000
good_qubit,84.422,0.00058547,0.00131812,0.00000000,0.00000000
good_qubit,84.925,0.00197914,0.00130171,0.00000000,0.00000000
good_qubit,85.427,0.00174985,0.00128550,0.00000000,0.00000000
good_qubit,85.930,0.00170359,0.00126949,0.00000000,0.00000000
good_qubit,86.432,0.00018234,0.00125368,0.00000000,0.00000000
good_qubit,86.935,0.00061149,0.00123807,0.00000000,0.00000000
good_qubit,87.437,0.00197021,0.00122265,0.00000000,0.00000000
good_qubit,87.940,0.00176310,0.00120742,0.00000000,0.00000000
good_qubit,88.442,0.00168424,0.00119237,0.00000000,0.00000000
